word	sentiment
4Head	0.40
:(	-0.61
:)	0.75
:D	0.87
:O	0.00
:P	0.33
:o	0.06
:p	0.27
;)	0.56
<3	0.94
ANELE	-0.39
AYAYA	0.53
BabyRage	-0.44
BibleThump	-0.37
BlessRNG	0.73
BloodTrail	0.45
BrokeBack	-0.25
Clap	0.67
CoolCat	0.71
CoolStoryBob	0.17
CurseLit	0.26
D:	-0.47
DansGame	-0.46
DoritosChip	0.01
EZ	0.58
EleGiggle	0.43
FailFish	-0.59
FeelsBadMan	-0.49
FeelsGoodMan	0.92
FortOne	0.17
FrankerZ	0.42
GOWKratos	0.09
GachiPls	0.10
GivePLZ	0.66
HYPERBRUH	-0.31
HYPERS	0.59
HeyGuys	0.64
Jebaited	0.13
KAPOW	0.35
KKona	0.00
Kappa	0.36
KappaHD	0.45
KappaPride	0.50
Keepo	0.40
KonCha	0.45
Kreygasm	0.81
LUL	0.58
LULW	0.46
MercyWing1	0.17
MercyWing2	0.16
MingLee	0.23
MrDestructoid	0.05
NaM	0.02
NotLikeThis	-0.49
OMEGALUL	0.43
OhMyDog	0.47
OpieOP	0.13
PJSalt	-0.51
POGGERS	0.80
PepeHands	-0.50
PepePls	0.29
PepoDance	0.20
Pog	0.69
PogChamp	0.95
PowerUpL	0.52
PowerUpR	0.49
PunOko	-0.45
PurpleStar	0.11
RIP	-0.50
RedCoat	-0.02
ResidentSleeper	-0.41
SMOrc	-0.01
SeemsGood	0.80
SeriousSloth	0.16
SourPls	0.34
Squid2	0.15
Squid4	0.12
SwiftRage	-0.27
TakeNRG	0.73
TheIlluminati	0.04
TriHard	-0.06
TwitchLit	0.40
TwitchUnity	0.60
VoHiYo	0.54
VoteNay	-0.41
VoteYea	0.66
WutFace	-0.45
bleedPurple	0.19
cheer100	0.49
cmonBruh	-0.45
forsenPls	0.07
gachiBASS	0.38
haHAA	-0.30
jinnytHype	0.18
lfsH	0.30
mcaT	0.04
monkaS	-0.09
moon2A	-0.54
ninjaPon	0.22
sumSmash	-0.15
